Id,CharacterId,Quality,Special
1027,103,purposeless,0
1028,103,stranger,0
1029,103,New York,0
1030,103,home,1
1031,104,law enforcement,0
1032,104,loneliness,0
1033,104,fight,0
1034,104,protector,0
1035,104,wander,0
1036,104,small town,0
1037,104,crime,0
1038,104,mission,0
1039,104,hero,0
1040,104,gun,1
1041,105,neighbor,0
1042,105,Christmas,0
1043,105,everyman,0
1044,105,newspaper,0
1045,105,fame,0
1046,105,rebel,0
1047,105,sports,0
1048,105,human spirit,0
1049,105,movement,0
1050,105,speech,1
1051,106,rich,0
1052,106,sick,0
1053,106,suicide,0
1054,106,alcohol,0
1055,106,death,0
1056,106,family,0
1057,106,East,0
1058,106,brother,0
1059,106,romance,0
1060,106,letters,1
1061,107,ambition,0
1062,107,sick,0
1063,107,poverty,0
1064,107,death,0
1065,107,religion,0
1066,107,fame,0
1067,107,faith,0
1068,107,meager origins,0
1069,107,father,0
1070,107,bells,1
1071,108,New York,0
1072,108,alcohol,0
1073,108,music,0
1074,108,suicide,0
1075,108,purposeless,0
1076,108,finances,0
1077,108,death,0
1078,108,failure,0
1079,108,uplifted,0
1080,108,trumpet,1
1081,109,fight,0
1082,109,prison,0
1083,109,family,0
1084,109,revenge,0
1085,109,anger,0
1086,109,friendship,0
1087,109,loneliness,0
1088,109,East,0
1089,109,stranger,0
1090,109,martial arts,1
1091,110,hero,0
1092,110,fear,0
1093,110,fight,0
1094,110,prison,0
1095,110,superhuman,0
1096,110,bitter,0
1097,110,courage,0
1098,110,animated,0
1099,110,hospital,0
1100,110,shape-shifting,1
1101,111,loneliness,0
1102,111,disaster,0
1103,111,love,0
1104,111,friend,0
1105,111,death,0
1106,111,dream,0
1107,111,ship,0
1108,111,poetry,0
1109,111,Europe,0
1110,111,sea,1
1111,112,romance,0
1112,112,disaster,0
1113,112,love,0
1114,112,friend,0
1115,112,Europe,0
1116,112,faith,0
1117,112,purposeless,0
1118,112,stranger,0
1119,112,monastery,0
1120,112,island,1
1121,113,quiet,0
1122,113,faith,0
1123,113,uplifted,0
1124,113,nature,0
1125,113,things of this world,0
1126,113,serenity,0
1127,113,New York,0
1128,113,sadness,0
1129,113,stranger,0
1130,113,face,1
1131,114,sci-fi,0
1132,114,family,0
1133,114,suicide,0
1134,114,young,0
1135,114,romance,0
1136,114,depressed,0
1137,114,appearance,0
1138,114,brother,0
1139,114,nerd,0
1140,114,Dominican,1
1141,115,Europe,0
1142,115,religion,0
1143,115,romance,0
1144,115,child,0
1145,115,faith,0
1146,115,poverty,0
1147,115,family,0
1148,115,dashed hope,0
1149,115,ambition,0
1150,115,preacher,1
1151,116,war,0
1152,116,time,0
1153,116,Europe,0
1154,116,romance,0
1155,116,crime,0
1156,116,dashed hope,0
1157,116,film,0
1158,116,bitter,0
1159,116,uplifted,0
1160,116,past,1
1161,117,wander,0
1162,117,poverty,0
1163,117,music,0
1164,117,wife,0
1165,117,rural,0
1166,117,rich vs poor,0
1167,117,bitter,0
1168,117,law enforcement,0
1169,117,jobs,0
1170,117,home,1
1171,118,young,0
1172,118,loneliness,0
1173,118,alcohol,0
1174,118,friend,0
1175,118,stranger,0
1176,118,ambition,0
1177,118,dashed hope,0
1178,118,ambition,0
